SNACKCART DEMO CREDENTIALS
========================
Password for all listed users: Example@123

ID	Name	Email	Role
1	Aarav Sharma	aarav.sharma@example.com	Customer
2	Anaya Mehta	anaya.mehta@example.com	Customer
3	Rohan Desai	rohan.desai@example.com	Customer
4	Sanya Kapoor	sanya.kapoor@example.com	Customer
5	Vivaan Singh	vivaan.singh@example.com	Customer
6	Diya Reddy	diya.reddy@example.com	Customer
7	Arjun Patel	arjun.patel@example.com	Customer
8	Isha Verma	isha.verma@example.com	Customer
9	Kartik Jain	kartik.jain@example.com	Customer
10	Meera Gupta	meera.gupta@example.com	Customer
11	Riya Nair	riya.nair@example.com	Customer
12	Siddharth Rao	siddharth.rao@example.com	Customer
13	Tara Khanna	tara.khanna@example.com	Customer
14	Viraj Mahajan	viraj.mahajan@example.com	Customer
15	Yashika Bose	yashika.bose@example.com	Customer
16	Spice Village	spicevillage@example.com	Seller
17	Golden Flavors	goldenflavors@example.com	Seller
18	Tradition Kitchen	traditionkitchen@example.com	Seller
19	Homely Eats	homelyeats@example.com	Seller
20	Crystal Bakery	crystalbakery@example.com	Seller
21	Urban Bites	urbanbites@example.com	Seller
22	Royal Sweets	royalsweets@example.com	Seller
23	Tasty Treats	tastytreats@example.com	Seller
24	Saffron Zone	saffronzone@example.com	Seller
25	Farmhouse Feasts	farmhousefeasts@example.com	Seller
